price_reference_id,department,aisle,product_keyword,market_item,estimated_price_usd,unit,source_name,source_url,source_period,source_accessed_at,confidence,usage_notes
20,produce,fresh fruits,strawberries,"Strawberries, dry pint",2.488,per 12 oz,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for strawberries."
21,produce,fresh vegetables,potatoes,"Potatoes, white",0.860,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for potatoes and similar root vegetables."
22,produce,fresh vegetables,lettuce,"Lettuce, iceberg",1.629,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for iceberg lettuce and similar leafy vegetables."
23,produce,fresh vegetables,romaine,"Lettuce, romaine",3.195,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for romaine lettuce and similar leafy vegetables."
24,produce,fresh vegetables,tomatoes,"Tomatoes, field grown",2.689,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for tomatoes."
25,beverages,juice nectars,orange juice,"Orange juice, frozen concentrate",4.903,per 16 oz,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,medium,"Use for orange juice and similar juice products."
26,beverages,coffee,coffee,"Coffee, 100%, ground roast",9.723,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for ground coffee products."
27,snacks,chips pretzels,potato chips,"Potato chips",6.748,per 16 oz,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for potato chips and similar salty snacks."
28,alcohol,beers coolers,malt beverages,"Malt beverages",1.856,per 16 oz,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,medium,"Use for beer and malt beverage products where alcohol analysis is allowed."
29,alcohol,wines,wine,"Wine, red and white table",13.979,per liter,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,medium,"Use for wine products where alcohol analysis is allowed."
30,all,all,food inflation forecast,"Food-at-home CPI forecast",2.4,percent change,U.S. Department of Agriculture - Economic Research Service Food Price Outlook,https://www.ers.usda.gov/data-products/food-price-outlook/summary-findings,2026 forecast,2026-05-17,high,"Use as macro assumption for grocery price inflation scenarios, not as item price."
